date,WIG20
2020-12-21,1928.4
2020-12-22,1955.84
2020-12-27,2004.41
2020-12-28,2016.01
2020-12-29,1983.98
2021-01-03,2008.75
2021-01-04,2009.12
2021-01-06,2074.11
2021-01-07,2072.74
2021-01-10,2066.97
2021-01-11,2043.73
2021-01-12,2023.36
2021-01-13,2031.71
2021-01-14,1985.68
2021-01-17,2023.74
2021-01-18,1980.12
2021-01-19,1986.09
2021-01-20,1953.49
2021-01-21,1952.67
2021-01-24,1945.78
2021-01-25,1981.98
2021-01-26,1929.21
2021-01-27,1987.83
2021-01-28,1948.01
2021-01-31,1967.72
2021-02-01,1954.02
2021-02-02,1940.69
2021-02-03,1927.02
2021-02-04,1957.73
2021-02-07,1952.1
2021-02-08,1941.6
2021-02-09,1917.54
2021-02-10,1954.92
2021-02-11,1937.07
2021-02-14,1974.82
2021-02-15,2004.54
2021-02-16,1986.8
2021-02-17,1980.77
2021-02-18,1985.31
2021-02-21,1961.62
2021-02-22,1922.59
2021-02-23,1937.9
2021-02-24,1936.47
2021-02-25,1907.28
2021-02-28,1949.57
2021-03-01,1959.52
2021-03-02,1943.24
2021-03-03,1944.86
2021-03-04,1939.59
2021-03-07,1965.25
2021-03-08,1994.18
2021-03-09,2003.55
2021-03-10,1994.38
2021-03-11,2006.11
2021-03-14,2001.24
2021-03-15,1981.41
2021-03-16,1939.01
2021-03-17,1960.75
2021-03-18,1927.56
2021-03-21,1929.12
2021-03-22,1923.55
2021-03-23,1899.95
2021-03-24,1876.85
2021-03-25,1918.71
2021-03-28,1953.02
2021-03-29,1942.32
2021-03-30,1938.84
2021-03-31,1954.38
2021-04-05,2012.87
2021-04-06,1998.73
2021-04-07,1980.32
2021-04-08,1975.11
2021-04-11,1982.58
2021-04-12,1974.73
2021-04-13,2011.96
2021-04-14,2019.29
2021-04-15,2012.27
2021-04-18,1998.99
2021-04-19,1987.76
2021-04-20,1982.4
2021-04-21,1989.73
2021-04-22,1986.63
2021-04-25,2005.1
2021-04-26,1998.92
2021-04-27,2029.64
2021-04-28,2050.69
2021-04-29,2037.59
2021-05-03,2004.04
2021-05-04,2047.36
2021-05-05,2046.67
2021-05-06,2097.31
2021-05-09,2115.7
2021-05-10,2110.48
2021-05-11,2091.39
2021-05-12,2089.32
2021-05-13,2092.8
2021-05-16,2128.49
2021-05-17,2136.54
2021-05-18,2115.15
2021-05-19,2131.18
2021-05-20,2139.06
2021-05-23,2134.18
2021-05-24,2153.78
2021-05-25,2164.89
2021-05-26,2207.47
2021-05-27,2236.31
2021-05-30,2233.36
2021-05-31,2233.37
2021-06-01,2252.26
2021-06-03,2254.59
2021-06-06,2246.63
2021-06-07,2237.61
2021-06-08,2218.45
2021-06-09,2236.89
2021-06-10,2224.67
2021-06-13,2253.2
2021-06-14,2230.37
2021-06-15,2225.27
2021-06-16,2211.58
2021-06-17,2220.68
