date,PX
2018-09-24,1093.46
2018-09-25,1106.34
2018-09-26,1100.77
2018-09-27,1101.92
2018-10-01,1098.21
2018-10-02,1099.12
2018-10-03,1107.28
2018-10-04,1110.47
2018-10-05,1103.38
2018-10-08,1095.4
2018-10-09,1095.78
2018-10-10,1097.17
2018-10-11,1083.68
2018-10-12,1079.61
2018-10-15,1081.07
2018-10-16,1088.44
2018-10-17,1087.86
2018-10-18,1087.1
2018-10-19,1079.3
2018-10-22,1081.18
2018-10-23,1060.2
2018-10-24,1062.16
2018-10-25,1052.27
2018-10-26,1031.63
2018-10-29,1055.25
2018-10-30,1049.82
2018-10-31,1066.61
2018-11-01,1070.59
2018-11-02,1067.73
2018-11-05,1072.44
2018-11-06,1066.15
2018-11-07,1075.79
2018-11-08,1085.95
2018-11-09,1089.08
2018-11-12,1081.76
2018-11-13,1078.81
2018-11-14,1084.44
2018-11-15,1081.03
2018-11-16,1080.53
2018-11-19,1079.18
2018-11-20,1060.02
2018-11-21,1067.79
2018-11-22,1065.64
2018-11-23,1062.42
2018-11-26,1065.16
2018-11-27,1064.39
2018-11-28,1065.3
2018-11-29,1065.71
2018-11-30,1068.65
2018-12-03,1073.65
2018-12-04,1066.01
2018-12-05,1051.0
2018-12-06,1038.59
2018-12-07,1040.37
2018-12-10,1029.11
2018-12-11,1017.36
2018-12-12,1030.74
2018-12-13,1029.17
2018-12-14,1028.4
2018-12-17,1027.87
2018-12-18,1026.64
2018-12-19,1008.11
2018-12-20,992.92
2018-12-21,983.35
2018-12-27,977.91
2018-12-28,986.56
2019-01-02,989.37
2019-01-03,990.05
2019-01-04,1004.21
2019-01-07,1008.56
2019-01-08,1014.36
2019-01-09,1018.05
2019-01-10,1015.7
2019-01-11,1011.44
2019-01-14,1001.15
2019-01-15,1004.03
2019-01-16,1019.0
2019-01-17,1014.88
2019-01-18,1020.36
2019-01-21,1017.25
2019-01-22,1016.98
2019-01-23,1021.65
2019-01-24,1017.7
2019-01-25,1023.1
2019-01-28,1025.14
2019-01-29,1029.6
2019-01-30,1034.95
2019-01-31,1043.55
2019-02-01,1048.28
2019-02-04,1052.05
2019-02-05,1060.03
2019-02-06,1063.02
2019-02-07,1060.92
2019-02-08,1046.82
2019-02-11,1046.43
2019-02-12,1057.32
2019-02-13,1058.06
2019-02-14,1048.95
2019-02-15,1058.23
2019-02-18,1063.9
2019-02-19,1065.63
2019-02-20,1068.07
2019-02-21,1058.89
2019-02-22,1060.23
2019-02-25,1070.68
2019-02-26,1065.39
2019-02-27,1067.33
2019-02-28,1071.68
2019-03-01,1075.74
2019-03-04,1078.69
2019-03-05,1076.63
2019-03-06,1080.53
2019-03-07,1067.67
2019-03-08,1061.45
2019-03-11,1059.68
2019-03-12,1060.36
2019-03-13,1061.63
2019-03-14,1068.43
2019-03-15,1070.29
2019-03-18,1076.73
2019-03-19,1075.36
2019-03-20,1073.37
2019-03-21,1078.39
2019-03-22,1079.35
2019-03-25,1076.33
2019-03-26,1074.35
2019-03-27,1076.96
2019-03-28,1072.63
2019-03-29,1074.39
2019-04-01,1084.81
2019-04-02,1081.41
2019-04-03,1086.69
2019-04-04,1085.49
2019-04-05,1086.09
2019-04-08,1084.46
2019-04-09,1083.42
2019-04-10,1086.27
2019-04-11,1091.03
2019-04-12,1104.47
2019-04-15,1103.02
2019-04-16,1095.9
2019-04-17,1096.97
2019-04-18,1101.67
2019-04-23,1098.48
2019-04-24,1088.97
2019-04-25,1085.62
2019-04-26,1091.47
2019-04-29,1070.23
2019-04-30,1068.72
2019-05-02,1083.5
2019-05-03,1079.63
2019-05-06,1064.71
2019-05-07,1063.5
2019-05-09,1051.4
2019-05-10,1049.64
2019-05-13,1043.87
2019-05-14,1050.31
2019-05-15,1052.07
2019-05-16,1051.57
2019-05-17,1050.75
2019-05-20,1049.34
2019-05-21,1048.33
2019-05-22,1042.68
2019-05-23,1038.09
2019-05-24,1041.89
2019-05-27,1040.29
2019-05-28,1038.16
2019-05-29,1040.51
2019-05-30,1043.62
2019-05-31,1044.09
2019-06-03,1049.9
2019-06-04,1053.83
2019-06-05,1052.68
2019-06-06,1048.39
2019-06-07,1049.65
2019-06-10,1059.22
2019-06-11,1061.89
2019-06-12,1051.99
2019-06-13,1050.88
2019-06-14,1051.46
2019-06-17,1051.57
2019-06-18,1055.18
2019-06-19,1057.56
2019-06-20,1054.01
2019-06-21,1053.47
2019-06-24,1056.18
2019-06-25,1040.05
2019-06-26,1034.74
2019-06-27,1037.94
2019-06-28,1041.73
2019-07-01,1039.84
2019-07-02,1040.72
2019-07-03,1049.29
2019-07-04,1052.1
2019-07-08,1052.12
2019-07-09,1048.44
2019-07-10,1047.25
2019-07-11,1047.07
2019-07-12,1055.62
2019-07-15,1056.65
2019-07-16,1057.73
2019-07-17,1062.36
2019-07-18,1063.87
2019-07-19,1067.41
2019-07-22,1069.58
2019-07-23,1071.22
2019-07-24,1075.44
2019-07-25,1074.02
2019-07-26,1070.58
2019-07-29,1070.64
2019-07-30,1062.22
2019-07-31,1056.69
2019-08-01,1047.08
2019-08-02,1040.37
2019-08-05,1025.54
2019-08-06,1022.85
2019-08-07,1015.7
2019-08-08,1020.53
2019-08-09,1022.67
2019-08-12,1030.67
2019-08-13,1030.29
2019-08-14,1030.43
2019-08-15,1031.03
2019-08-16,1035.46
2019-08-19,1035.33
2019-08-20,1033.74
2019-08-21,1037.98
2019-08-22,1042.32
2019-08-23,1045.55
2019-08-26,1039.35
2019-08-27,1034.13
2019-08-28,1024.08
2019-08-29,1031.02
2019-08-30,1037.27
2019-09-02,1036.45
2019-09-03,1030.39
2019-09-04,1028.39
2019-09-05,1040.28
2019-09-06,1032.06
2019-09-09,1033.49
2019-09-10,1035.04
2019-09-11,1043.57
2019-09-12,1049.42
2019-09-13,1050.17
2019-09-16,1060.83
2019-09-17,1047.51
2019-09-18,1050.02
2019-09-19,1053.36
2019-09-20,1060.32
2019-09-23,1045.03
2019-09-24,1047.57
2019-09-25,1031.06
2019-09-26,1037.1
2019-09-27,1038.45
2019-09-30,1041.75
2019-10-01,1031.25
2019-10-02,1010.03
2019-10-03,1005.48
2019-10-04,1004.56
2019-10-07,1000.53
2019-10-08,994.07
2019-10-09,996.62
2019-10-10,997.28
2019-10-11,1013.55
2019-10-14,1019.52
2019-10-15,1020.39
2019-10-16,1026.98
2019-10-17,1034.3
2019-10-18,1042.9
2019-10-21,1053.25
2019-10-22,1056.92
